Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,5.950000,6.350000,5.910000,6.320000,6.320000,2018800
2017-08-07,6.510000,6.700000,6.450000,6.600000,6.600000,2679300
2017-08-08,6.640000,6.990000,6.620000,6.900000,6.900000,2303000
2017-08-09,6.900000,6.930000,6.660000,6.720000,6.720000,1156100
2017-08-10,6.750000,6.850000,6.600000,6.750000,6.750000,1054700
2017-08-11,6.350000,6.430000,6.200000,6.200000,6.200000,1970100
2017-08-14,6.260000,6.260000,5.970000,6.050000,6.050000,1322200
2017-08-15,6.090000,6.340000,6.080000,6.130000,6.130000,804300
2017-08-16,6.200000,6.330000,6.130000,6.160000,6.160000,609300
2017-08-17,6.180000,6.250000,6.060000,6.120000,6.120000,280500
2017-08-18,6.150000,6.160000,6.080000,6.160000,6.160000,441500
2017-08-21,6.160000,6.740000,6.160000,6.670000,6.670000,1790700
2017-08-22,6.660000,6.830000,6.450000,6.600000,6.600000,1078300
2017-08-23,6.650000,6.690000,6.590000,6.590000,6.590000,419800
2017-08-24,6.600000,6.770000,6.500000,6.700000,6.700000,546100
2017-08-25,6.700000,6.980000,6.700000,6.950000,6.950000,1790800
2017-08-28,7.050000,7.380000,7.050000,7.340000,7.340000,1245700
2017-08-29,7.320000,7.350000,7.060000,7.180000,7.180000,1332000
2017-08-30,7.220000,7.260000,7.070000,7.100000,7.100000,537400
2017-08-31,7.130000,7.150000,6.800000,7.130000,7.130000,744800
2017-09-01,7.250000,7.580000,7.220000,7.570000,7.570000,1312700
2017-09-04,7.590000,7.640000,7.410000,7.580000,7.580000,746400
2017-09-05,7.660000,7.750000,7.300000,7.350000,7.350000,959000
2017-09-06,7.410000,7.720000,7.370000,7.680000,7.680000,1027400
2017-09-07,7.680000,7.680000,7.680000,7.680000,7.680000,0
2017-09-08,7.700000,7.880000,7.600000,7.830000,7.830000,631700
2017-09-11,7.850000,8.110000,7.850000,8.030000,8.030000,704000
2017-09-12,8.070000,8.380000,7.970000,8.380000,8.380000,726200
2017-09-13,8.300000,8.880000,8.080000,8.830000,8.830000,943400
2017-09-14,8.850000,9.670000,8.850000,9.490000,9.490000,1147100
2017-09-15,9.500000,9.600000,9.430000,9.500000,9.500000,1097800
2017-09-18,9.630000,9.900000,9.630000,9.790000,9.790000,686700
2017-09-19,9.900000,10.050000,9.800000,9.940000,9.940000,954600
2017-09-20,10.040000,10.160000,9.490000,9.690000,9.690000,1121500
2017-09-21,9.700000,9.900000,9.410000,9.550000,9.550000,528600
2017-09-22,9.600000,9.650000,9.130000,9.350000,9.350000,556400
2017-09-25,9.260000,9.340000,8.820000,8.900000,8.900000,800700
2017-09-26,8.860000,9.600000,8.860000,9.450000,9.450000,1780600
2017-09-27,9.480000,9.480000,9.080000,9.280000,9.280000,629100
2017-09-28,9.450000,9.450000,9.160000,9.290000,9.290000,460200
2017-09-29,9.430000,9.550000,9.350000,9.380000,9.380000,466400
2017-10-02,9.520000,9.740000,9.380000,9.390000,9.390000,876000
2017-10-03,9.420000,9.650000,9.400000,9.600000,9.600000,697800
2017-10-04,9.660000,9.910000,9.350000,9.350000,9.350000,856200
2017-10-05,9.450000,9.630000,9.000000,9.120000,9.120000,686200
2017-10-06,9.150000,9.250000,8.900000,9.090000,9.090000,454400
2017-10-09,9.060000,9.200000,8.890000,9.000000,9.000000,605600
2017-10-10,9.100000,9.440000,9.020000,9.320000,9.320000,783600
2017-10-11,9.340000,9.430000,9.120000,9.200000,9.200000,636000
2017-10-12,9.200000,9.200000,9.200000,9.200000,9.200000,0
2017-10-13,9.230000,9.300000,8.910000,9.030000,9.030000,872900
2017-10-16,9.030000,9.040000,8.510000,8.730000,8.730000,1034000
2017-10-17,8.720000,8.940000,8.520000,8.590000,8.590000,961600
2017-10-18,8.650000,8.870000,8.550000,8.760000,8.760000,680700
2017-10-19,8.780000,9.000000,8.550000,9.000000,9.000000,674500
2017-10-20,9.000000,9.150000,8.860000,8.990000,8.990000,890700
2017-10-23,8.990000,9.030000,8.630000,8.720000,8.720000,501700
2017-10-24,8.710000,8.800000,8.340000,8.390000,8.390000,966000
2017-10-25,8.480000,8.650000,8.190000,8.410000,8.410000,651800
2017-10-26,8.350000,9.090000,8.210000,8.950000,8.950000,1755600
2017-10-27,9.010000,9.100000,8.730000,9.020000,9.020000,866400
2017-10-30,9.010000,9.030000,8.350000,8.430000,8.430000,771500
2017-10-31,8.510000,8.520000,7.850000,7.850000,7.850000,1178400
2017-11-01,8.000000,8.060000,7.700000,7.850000,7.850000,542900
2017-11-02,7.850000,7.850000,7.850000,7.850000,7.850000,0
2017-11-03,7.990000,8.070000,7.540000,7.670000,7.670000,678400
2017-11-06,7.630000,7.730000,7.250000,7.250000,7.250000,666400
2017-11-07,7.240000,7.300000,6.900000,6.910000,6.910000,1069700
2017-11-08,6.980000,7.380000,6.930000,7.300000,7.300000,795400
2017-11-09,7.390000,7.500000,7.010000,7.040000,7.040000,438100
2017-11-10,7.100000,7.140000,6.550000,6.550000,6.550000,874800
2017-11-13,6.550000,7.010000,6.550000,6.770000,6.770000,746800
2017-11-14,6.900000,7.000000,6.640000,6.700000,6.700000,372300
2017-11-15,6.700000,6.700000,6.700000,6.700000,6.700000,0
2017-11-16,6.800000,7.100000,6.710000,6.940000,6.940000,469600
2017-11-17,6.940000,7.370000,6.880000,7.200000,7.200000,499400
2017-11-20,7.200000,7.200000,7.200000,7.200000,7.200000,0
2017-11-21,7.380000,7.510000,7.330000,7.340000,7.340000,603300
2017-11-22,7.270000,7.370000,7.120000,7.180000,7.180000,457400
2017-11-23,7.230000,7.230000,6.880000,7.030000,7.030000,745100
2017-11-24,7.050000,7.730000,7.020000,7.730000,7.730000,1077600
2017-11-27,7.810000,7.900000,7.520000,7.680000,7.680000,895100
2017-11-28,7.790000,7.850000,7.600000,7.620000,7.620000,388900
2017-11-29,7.560000,7.770000,7.550000,7.580000,7.580000,451300
2017-11-30,7.580000,7.610000,7.080000,7.100000,7.100000,718800
2017-12-01,7.140000,7.140000,6.840000,7.000000,7.000000,719200
2017-12-04,7.100000,7.300000,7.010000,7.200000,7.200000,525700
2017-12-05,7.110000,7.320000,6.950000,7.000000,7.000000,1072800
2017-12-06,7.010000,7.500000,7.000000,7.350000,7.350000,1161900
2017-12-07,7.300000,7.650000,7.150000,7.160000,7.160000,1335700
2017-12-08,7.300000,7.550000,7.280000,7.550000,7.550000,1019800
2017-12-11,7.550000,7.840000,7.490000,7.600000,7.600000,793300
2017-12-12,7.630000,7.630000,7.440000,7.460000,7.460000,418100
2017-12-13,7.530000,7.660000,7.270000,7.320000,7.320000,514800
2017-12-14,7.320000,7.540000,7.320000,7.400000,7.400000,286000
2017-12-15,7.400000,7.450000,7.160000,7.250000,7.250000,734900
2017-12-18,7.360000,7.380000,7.030000,7.050000,7.050000,989400
2017-12-19,7.080000,7.180000,6.920000,6.970000,6.970000,1232800
2017-12-20,7.000000,7.110000,6.950000,7.000000,7.000000,541000
2017-12-21,7.060000,7.250000,7.050000,7.250000,7.250000,488200
2017-12-22,7.250000,7.250000,7.070000,7.210000,7.210000,249300
2017-12-25,7.210000,7.210000,7.210000,7.210000,7.210000,0
2017-12-26,7.210000,7.350000,7.150000,7.350000,7.350000,323600
2017-12-27,7.400000,7.410000,7.310000,7.320000,7.320000,654800
2017-12-28,7.330000,7.390000,7.200000,7.250000,7.250000,747700
2017-12-29,7.250000,7.250000,7.250000,7.250000,7.250000,0
2018-01-02,7.300000,7.790000,7.280000,7.790000,7.790000,1242900
2018-01-03,7.790000,8.390000,7.630000,8.300000,8.300000,1519500
2018-01-04,8.400000,8.750000,8.120000,8.200000,8.200000,1565100
2018-01-05,8.280000,8.440000,8.120000,8.190000,8.190000,631500
2018-01-08,8.240000,8.330000,7.920000,8.330000,8.330000,583000
2018-01-09,8.410000,8.500000,8.100000,8.140000,8.140000,646000
2018-01-10,8.140000,8.140000,7.810000,7.870000,7.870000,534000
2018-01-11,7.960000,8.130000,7.900000,8.030000,8.030000,584600
2018-01-12,7.970000,8.030000,7.810000,7.820000,7.820000,680500
2018-01-15,7.850000,8.040000,7.840000,7.870000,7.870000,304300
